WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,
1,1985,Lalín,Real Burgos,0-1,Miguel González Bastón,Francisco Javier Goñi Biesa,José Antonio Blanco Álvarez,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José Antonio del Moral Buezo,Jesús Sicilia Doménech,Juan Manuel Mata Rodríguez,Eliseo Salamanca Franco,José Manuel Molinero Caraballo,Francisco Javier Eizmendi Urdangarín,Jaime Arechavaleta Martínez de Quel,José Alberto Ibáñez Martín,,,
0,1985,Real Burgos,Figueras,0-0,Miguel González Bastón,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Antonio del Moral Buezo,Jaime Arechavaleta Martínez de Quel,Eliseo Salamanca Franco,José Manuel Molinero Caraballo,Francisco Javier Eizmendi Urdangarín,Juan Manuel Mata Rodríguez,,,,
0,1985,Gimnástico de Tarragona,Real Burgos,0-0,Pedro Benito Zapata,Federico Castaños Martínez,José Antonio Blanco Álvarez,Francisco Javier Goñi Biesa,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,José Alberto Ibáñez Martín,Jaime Arechavaleta Martínez de Quel,Francisco Javier Eizmendi Urdangarín,Eliseo Salamanca Franco,,,,
0,1986,Córdoba,Real Burgos,1-1,Miguel González Bastón,Francisco Javier Goñi Biesa,José Medina Urbaneja,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Jaime Arechavaleta Martínez de Quel,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Jesús Sicilia Doménech,Juan Manuel Mata Rodríguez,,,
0,1986,Real Burgos,Granada,0-1,Miguel González Bastón,Francisco Javier Goñi Biesa,José Medina Urbaneja,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,José María Bautista Monente,Miguel Ángel Portugal Vicario,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,José Alberto Ibáñez Martín,Jesús Sicilia Doménech,,,
1,1986,Albacete,Real Burgos,0-1,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,José Medina Urbaneja,Pedro Luis Tamayo Tornadijo,Emiliano Ausín Hernando,Miguel Ángel Portugal Vicario,Rafael Rincón Rus,Juan Manuel Mata Rodríguez,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Jesús Sicilia Doménech,,,,
1,1986,Júpiter Leonés,Real Burgos,0-2,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,José Medina Urbaneja,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,Miguel Ángel Portugal Vicario,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Jesús Sicilia Doménech,José Alberto Ibáñez Martín,,,
0,1986,Real Burgos,Orense,0-0,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,José Medina Urbaneja,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,Miguel Ángel Portugal Vicario,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,Jesús Sicilia Doménech,José Alberto Ibáñez Martín,,,
1,1986,Alcoyano,Real Burgos,0-1,Miguel González Bastón,Federico Castaños Martínez,Francisco Javier Goñi Biesa,José Medina Urbaneja,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,Miguel Ángel Portugal Vicario,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,José Alberto Ibáñez Martín,,,,
0,1986,Real Burgos,Valladolid,0-3,Miguel González Bastón,Federico Castaños Martínez,José Medina Urbaneja,Francisco Javier Goñi Biesa,José Antonio Blanco Álvarez,Emiliano Ausín Hernando,Miguel Ángel Portugal Vicario,Juan Manuel Mata Rodríguez,Rafael Rincón Rus,Ramón Masqué Rodón,Francisco Javier Eizmendi Urdangarín,José Alberto Ibáñez Martín,,,,
