WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
0;1990;San Sebastián;Numancia;5-1;Francisco José Ruiz Vegas;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;José Ignacio Hurtado Capilla;Pedro Mesones Fernández;José Ángel Fernández Aláez;Antonio Alfageme Bragado;Cristóbal Rodríguez Hidalgo;José Antonio Pastor Carbonell;;
1;1990;Numancia;Andorra;1-0;Antonio Alfageme Bragado;José Antonio Pastor Carbonell;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;José Ignacio Hurtado Capilla;Pedro Mesones Fernández;José Ángel Fernández Aláez;;;;;
0;1990;Mirandés;Numancia;1-0;Antonio Alfageme Bragado;José Antonio Pastor Carbonell;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;José Ignacio Hurtado Capilla;José Ángel Fernández Aláez;Pedro Mesones Fernández;;;;;
1;1990;Numancia;Deportivo Aragón;2-1;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;Pedro Mesones Fernández;José Antonio Pastor Carbonell;José Ángel Fernández Aláez;;;;;
0;1990;Numancia;Cultural de Durango;0-1;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;José Helios Ruiz Villar;José María Güembe Torrecilla;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;Pedro Mesones Fernández;José Ignacio Hurtado Capilla;José Ángel Fernández Aláez;;;;;
0;1990;Santurtzi;Numancia;2-1;Francisco José Ruiz Vegas;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;Pedro Mesones Fernández;José Ignacio Hurtado Capilla;;;;;;
0;1990;Numancia;Castellón;1-3;Francisco José Ruiz Vegas;José Antonio Pastor Carbonell;Juan Carlos Bernad Esteban;José Helios Ruiz Villar;Chus Martínez González;Fernando Fierro López;Ángel Cuenca Gallego;José Ángel Fernández Aláez;José Ignacio Hurtado Capilla;José García Juárez;Pedro Mesones Fernández;César García García;Miguel Ángel González López;;;;;
1;1990;Numancia;Lemona;2-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Javier Díaz Gómez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;Pedro Mesones Fernández;José Ángel Fernández Aláez;Cristóbal Rodríguez Hidalgo;;;;;
0;1990;Andorra CF;Numancia;0-0;Antonio Alfageme Bragado;Juan Carlos Bernad Esteban;José María Güembe Torrecilla;José Helios Ruiz Villar;Chus Martínez González;José Ángel Fernández Aláez;Fernando Fierro López;Ángel Cuenca Gallego;Miguel Ángel González López;José García Juárez;Pedro Mesones Fernández;Cristóbal Rodríguez Hidalgo;José Ignacio Hurtado Capilla;;;;;
0;1990;Castellón;Numancia;1-0;Francisco José Ruiz Vegas;Juan Carlos Bernad Esteban;José Antonio Pastor Carbonell;Cristóbal Rodríguez Hidalgo;José Helios Ruiz Villar;Chus Martínez González;Fernando Fierro López;Ángel Cuenca Gallego;José Ángel Fernández Aláez;José Ignacio Hurtado Capilla;Pedro Mesones Fernández;José Felix González Alcalde;César García García;;;;;
