WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,
1,1982,Albacete,San Fernando,2-0,José Villalba Arana,José Morata Pérez,Juan Carlos Lázaro Póveda,Vicente Manuel Martí Company,Leopoldo Salvador Cifuentes,Mariano Hernán López,Juan Antonio Villalba Arana,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,José Antonio Álvarez Domínguez,Rafael Gorina Sánchez,Eudald Duran Alberch,,,,,
0,1982,Alcoyano,Albacete,3-3,José Ródenas Carcelén,José Morata Pérez,Lluís Majó Platell,Juan Carlos Lázaro Póveda,Leopoldo Salvador Cifuentes,Francisco Gómez López,Martín Monteagudo Monteagudo,Mariano Hernán López,Eudald Duran Alberch,José Antonio Castanera Sanjuan,José Antonio Álvarez Domínguez,Manuel Escarbajal Ruiz,Ramón Román Ortiz,,,,,
1,1982,Albacete,Alcoyano,2-0,José Ródenas Carcelén,José Morata Pérez,Lluís Majó Platell,Juan Carlos Lázaro Póveda,Francisco Gómez López,Leopoldo Salvador Cifuentes,Mariano Hernán López,Martín Monteagudo Monteagudo,Manuel Escarbajal Ruiz,José Antonio Gómez Álvarez de Eulate,José Antonio Álvarez Domínguez,Ramón Román Ortiz,,,,,,
1,1982,Granada,Albacete,0-1,José Ródenas Carcelén,José Morata Pérez,Lluís Majó Platell,Leopoldo Salvador Cifuentes,Juan Carlos Lázaro Póveda,Mariano Hernán López,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Escarbajal Ruiz,José Antonio Álvarez Domínguez,Ramón Román Ortiz,omingo,,,,,
1,1982,Albacete,Granada,2-1,José Ródenas Carcelén,José Morata Pérez,Lluís Majó Platell,Leopoldo Salvador Cifuentes,Francisco Gómez López,Mariano Hernán López,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Escarbajal Ruiz,José Antonio Álvarez Domínguez,Pedro Parada García,Ramón Román Ortiz,,,,,
1,1982,RSD Alcalá,Albacete,1-4,José Ródenas Carcelén,Lluís Majó Platell,Juan Carlos Lázaro Póveda,Leopoldo Salvador Cifuentes,Francisco Gómez López,Mariano Hernán López,Martín Monteagudo Monteagudo,José Antonio Castanera Sanjuan,José Antonio Gómez Álvarez de Eulate,Manuel Escarbajal Ruiz,José Antonio Álvarez Domínguez,Ramón Román Ortiz,Eudald Duran Alberch,,,,,
1,1982,Albacete,RSD Alcalá,3-0,José Ródenas Carcelén,José Morata Pérez,Juan Carlos Lázaro Póveda,Lluís Majó Platell,Leopoldo Salvador Cifuentes,Francisco Gómez López,Mariano Hernán López,José Antonio Castanera Sanjuan,Manuel Escarbajal Ruiz,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Eudald Duran Alberch,Ramón Román Ortiz,,,,,
0,1983,Racing Portuense,Albacete,1-0,José Villalba Arana,José Morata Pérez,Antolín Ocaña Puertas,Alfonso de la Fuente Peinador,Leopoldo Salvador Cifuentes,Francisco Gómez López,Pedro Parada García,Mariano Hernán López,Francisco José Madrona Gómez,José Antonio Gómez Álvarez de Eulate,Mariano Mansilla Cuevas,José Antonio Álvarez Domínguez,Ángel Torrecillas Morales,,,,,
1,1983,Albacete,Deportivo Aragón,5-2,José Villalba Arana,José Morata Pérez,Antolín Ocaña Puertas,Alfonso de la Fuente Peinador,Leopoldo Salvador Cifuentes,Francisco Gómez López,Mariano Hernán López,Manuel Escarbajal Ruiz,José Antonio Gómez Álvarez de Eulate,Mariano Mansilla Cuevas,José Antonio Álvarez Domínguez,Pedro Parada García,Francisco José Madrona Gómez,,,,,
0,1983,Albacete,Orihuela,1-1,José Villalba Arana,José Morata Pérez,Alfonso de la Fuente Peinador,Antolín Ocaña Puertas,Leopoldo Salvador Cifuentes,Francisco Gómez López,Mariano Hernán López,Manuel Escarbajal Ruiz,Mariano Mansilla Cuevas,José Antonio Álvarez Domínguez,José Antonio Gómez Álvarez de Eulate,Ángel Torrecillas Morales,Francisco José Madrona Gómez,,,,,
