WinOrLost;year;team1;team2;score;players;;;;;;;;;;;;;;;;;
1;1977;Algeciras;Gerona;2-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Manuel Martínez Pérez;Antonio Rivas Sánchez;Juan Herrero Cabello;Gabriel Saavedra Olea;Miguel Gallego Domínguez;Antonio Vargas Quijada;Julio Silverio Córdoba;Francisco Martínez Caba;Javier Ventura Faulon;Rafael Guillén Castañeda;Salvador Asensio Ruiz;;;;;
1;1978;Cádiz;Algeciras;1-2;Nemesio Alonso Álvarez;Manuel Martínez Pérez;Antonio Rivas Sánchez;Juan López Hita;Jerónimo Rodríguez Villalba;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Bartolomé Plaza Muela;Roberto Rodolfo Romero Sebastianelli;;;;;
1;1978;Algeciras;Getafe Deportivo;2-0;Nemesio Alonso Álvarez;Antonio Rivas Sánchez;Manuel Martínez Pérez;Juan López Hita;Jerónimo Rodríguez Villalba;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Daniel Ignacio Murúa Burgos;;;;;;
0;1978;CD Málaga;Algeciras;2-0;Nemesio Alonso Álvarez;Manuel Martínez Pérez;Antonio Rivas Sánchez;Juan López Hita;Jerónimo Rodríguez Villalba;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Bartolomé Plaza Muela;Daniel Ignacio Murúa Burgos;;;;;
0;1978;AD Ceuta;Algeciras;1-1;Nemesio Alonso Álvarez;Juan Herrero Cabello;Antonio Rivas Sánchez;Juan López Hita;Jerónimo Rodríguez Villalba;Miguel Gallego Domínguez;Antonio Vargas Quijada;Gabriel Saavedra Olea;Francisco Martínez Caba;Javier Ventura Faulon;Daniel Ignacio Murúa Burgos;Manuel Gutiérrez Serrano;Roberto Rodolfo Romero Sebastianelli;;;;;
1;1978;Algeciras;Jaén;3-0;Nemesio Alonso Álvarez;Antonio Rivas Sánchez;Manuel Martínez Pérez;Juan López Hita;Rafael Guillén Castañeda;Jerónimo Rodríguez Villalba;Gabriel Saavedra Olea;Miguel Gallego Domínguez;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Roberto Rodolfo Romero Sebastianelli;Daniel Ignacio Murúa Burgos;;;;;
0;1978;Osasuna;Algeciras;3-2;Nemesio Alonso Álvarez;Manuel Martínez Pérez;Antonio Rivas Sánchez;Juan López Hita;Jerónimo Rodríguez Villalba;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Gabriel Saavedra Olea;Antonio Vargas Quijada;Francisco Martínez Caba;Javier Ventura Faulon;Roberto Rodolfo Romero Sebastianelli;Daniel Ignacio Murúa Burgos;;;;;
0;1978;Algeciras;AD Ceuta;1-2;Nemesio Alonso Álvarez;Manuel Gutiérrez Serrano;Antonio Rivas Sánchez;Manuel Martínez Pérez;Juan López Hita;Jerónimo Rodríguez Villalba;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Francisco Martínez Caba;Javier Ventura Faulon;Daniel Ignacio Murúa Burgos;Miguel Loza Gallego;;;;;;
1;1978;Algeciras;Tarrasa;1-0;Nemesio Alonso Álvarez;Roberto Rodolfo Romero Sebastianelli;Manuel Gutiérrez Serrano;Manuel Martínez Pérez;Juan López Hita;Jerónimo Rodríguez Villalba;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Francisco Martínez Caba;Javier Ventura Faulon;Daniel Ignacio Murúa Burgos;Miguel Loza Gallego;Gabriel Saavedra Olea;;;;;
0;1978;Betis;Algeciras;4-1;Nemesio Alonso Álvarez;Miguel Loza Gallego;Manuel Gutiérrez Serrano;Roberto Rodolfo Romero Sebastianelli;Juan López Hita;Jerónimo Rodríguez Villalba;Rafael Guillén Castañeda;Miguel Gallego Domínguez;Francisco Martínez Caba;Javier Ventura Faulon;Daniel Ignacio Murúa Burgos;Gabriel Saavedra Olea;Carlos Américo Brizzola Carassus;;;;;
