WinOrLost,year,team1,team2,score,players,,,,,,,,,,,,,,,,,,,,,,
0,1971,Cultural Leonesa,Pontevedra,2-2,Bernardo Aguirregomezcorta Arrizabalaga,Rafael Juan del Riego Villaverde,José Antonio Casas González,Avelino Vega Blanco,Alberto Cobos Guinea,Diego Fernández Yebra,Julio Piñán Nistal,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Herminio González Otero,Feliciano Llamazares Martínez,,,,,,,,,,
0,1971,Zaragoza,Cultural Leonesa,3-1,Bernardo Aguirregomezcorta Arrizabalaga,José Prieto Valenzuela,José María González Rodríguez,Rafael Juan del Riego Villaverde,José Antonio Casas González,Avelino Vega Blanco,Alberto Cobos Guinea,Diego Fernández Yebra,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Manuel Ovalle Vidal,Eusebio García Méndez,Graciliano Godoy Durán,Antonio Gómez Navarro,Herminio González Otero,,,,,,,,
1,1971,Cultural Leonesa,Xerez,3-1,Bernardo Aguirregomezcorta Arrizabalaga,Rafael Juan del Riego Villaverde,José Antonio Casas González,Gerardo Rodríguez Morán,Francisco Javier Larrauri Izquierdo,Alberto Cobos Guinea,Avelino Vega Blanco,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,José María González Rodríguez,Eusebio García Méndez,,,,,,,,,,
0,1971,Mestalla,Cultural Leonesa,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,José María González Rodríguez,Herminio González Otero,Francisco Javier Larrauri Izquierdo,Alberto Cobos Guinea,Diego Fernández Yebra,José Rodríguez,Avelino Vega Blanco,Julio Piñán Nistal,José Luis Zuazaga Arrese,José Prieto Valenzuela,Raimundo Lorenzo García,,,,,,,,,,
1,1971,Cultural Leonesa,San Andrés,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,Francisco Javier Larrauri Izquierdo,José Rodríguez,Avelino Vega Blanco,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,,,,,,,,,,,,
1,1971,Cultural Leonesa,Cartagena,4-2,Bernardo Aguirregomezcorta Arrizabalaga,Graciliano Godoy Durán,Herminio González Otero,José María González Rodríguez,Francisco Javier Larrauri Izquierdo,Avelino Vega Blanco,Constantino Rodríguez Roldán,Julio Piñán Nistal,Mariano Arias Chamorro,Francisco Villafañe Martínez,José Luis Zuazaga Arrese,José Antonio Casas González,José Prieto Valenzuela,,,,,,,,,,
1,1971,Pontevedra,Cultural Leonesa,0-1,Antonio Gómez Navarro,Herminio González Otero,José María González Rodríguez,José Antonio Casas González,Alberto Cobos Guinea,Constantino Rodríguez Roldán,Julio Piñán Nistal,Avelino Vega Blanco,José Luis Zuazaga Arrese,Mariano Arias Chamorro,Francisco Villafañe Martínez,Gerardo Rodríguez Morán,,,,,,,,,,,
0,1972,Elche,Cultural Leonesa,3-2,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Manuel López Prieto,Alberto Cobos Guinea,Avelino Vega Blanco,Julio Piñán Nistal,Gerardo Rodríguez Morán,Constantino Rodríguez Roldán,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Francisco Villafañe Martínez,Juan Sagasta Eguidazu,,,,,,,,,,,
0,1972,Cultural Leonesa,San Andrés,1-2,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Manuel López Prieto,Alberto Cobos Guinea,Constantino Rodríguez Roldán,Julio Piñán Nistal,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Francisco Villafañe Martínez,Hipólito Esteban Gusano,José María Hernández Crego,Juan Sagasta Eguidazu,,,,,,,,,,
1,1972,Baracaldo,Cultural Leonesa,1-2,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Alberto Cobos Guinea,Julio Piñán Nistal,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Francisco Villafañe Martínez,Hipólito Esteban Gusano,Juan Sagasta Eguidazu,,,,,,,,,,,
0,1972,Cultural Leonesa,Mallorca,0-0,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Alberto Cobos Guinea,Gerardo Rodríguez Morán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Francisco Villafañe Martínez,Hipólito Esteban Gusano,Avelino Vega Blanco,Antonio Esteban Gusano,,,,,,,,,,
0,1972,Rayo Vallecano,Cultural Leonesa,1-1,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Avelino Vega Blanco,Julio Piñán Nistal,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Hipólito Esteban Gusano,Francisco Villafañe Martínez,José María González Rodríguez,Manuel López Prieto,,,,,,,,,,
0,1972,Cultural Leonesa,Pontevedra,1-1,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,José María Hernández Crego,Eduardo Santibáñez Díez,Julio Piñán Nistal,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Miguel Ángel Martínez Fernández,Francisco Villafañe Martínez,Hipólito Esteban Gusano,Teodoro Quintana Aliende,Avelino Vega Blanco,,,,,,,,,,
0,1972,Cultural Leonesa,Sevilla,1-2,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Avelino Vega Blanco,Julio Piñán Nistal,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Miguel Ángel Martínez Fernández,Francisco Villafañe Martínez,Constantino Rodríguez Roldán,Alberto Cobos Guinea,,,,,,,,,,
0,1972,Gimnástico de Tarragona,Cultural Leonesa,4-0,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Alberto Cobos Guinea,Avelino Vega Blanco,Julio Piñán Nistal,Gerardo Rodríguez Morán,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Francisco Villafañe Martínez,Constantino Rodríguez Roldán,Juan Sagasta Eguidazu,,,,,,,,,,
1,1972,Cultural Leonesa,Osasuna,1-0,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Alberto Cobos Guinea,Avelino Vega Blanco,Julio Piñán Nistal,Constantino Rodríguez Roldán,José Luis Zuazaga Arrese,Francisco Villafañe Martínez,Hipólito Esteban Gusano,Manuel López Prieto,José María González Rodríguez,,,,,,,,,,
0,1972,Cultural Leonesa,Tenerife,0-0,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Juan Sagasta Eguidazu,Julio Piñán Nistal,Constantino Rodríguez Roldán,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Miguel Ángel Martínez Fernández,Francisco Villafañe Martínez,Manuel López Prieto,Avelino Vega Blanco,,,,,,,,,,
0,1972,Hércules,Cultural Leonesa,3-1,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Avelino Vega Blanco,Gerardo Rodríguez Morán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Francisco Villafañe Martínez,Hipólito Esteban Gusano,Miguel Ángel Martínez Fernández,Juan Sagasta Eguidazu,,,,,,,,,,
0,1972,Cultural Leonesa,Murcia,1-3,Bernardo Aguirregomezcorta Arrizabalaga,Herminio González Otero,Eduardo Santibáñez Díez,José María Hernández Crego,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Anastasio Esteban Gómez,Francisco Villafañe Martínez,Benjamín Mortera Argüelles,José Antonio Casas González,Avelino Vega Blanco,,,,,,,,,,
0,1972,Sabadell,Cultural Leonesa,2-0,Bernardo Aguirregomezcorta Arrizabalaga,José Antonio Casas González,Carlos Luis Iglesias Álvarez,Eduardo Santibáñez Díez,José María Hernández Crego,Julio Piñán Nistal,Constantino Rodríguez Roldán,Benjamín Mortera Argüelles,Francisco Villafañe Martínez,Anastasio Esteban Gómez,Hipólito Esteban Gusano,Rafael Alcaide Crespín,José Luis Zuazaga Arrese,,,,,,,,,,
1,1972,Cultural Leonesa,Logroñés,3-2,Bernardo Aguirregomezcorta Arrizabalaga,Carlos Luis Iglesias Álvarez,Eduardo Santibáñez Díez,José María Hernández Crego,Julio Piñán Nistal,José Luis Zuazaga Arrese,Miguel Ángel Martínez Fernández,Anastasio Esteban Gómez,Francisco Villafañe Martínez,Benjamín Mortera Argüelles,Rafael Alcaide Crespín,Juan Sagasta Eguidazu,Hipólito Esteban Gusano,,,,,,,,,,
1,1972,SD Ibiza,Cultural Leonesa,0-1,Bernardo Aguirregomezcorta Arrizabalaga,Carlos Luis Iglesias Álvarez,Eduardo Santibáñez Díez,José María Hernández Crego,Constantino Rodríguez Roldán,Julio Piñán Nistal,José Luis Zuazaga Arrese,Rafael Alcaide Crespín,Anastasio Esteban Gómez,Francisco Villafañe Martínez,Benjamín Mortera Argüelles,Juan Sagasta Eguidazu,Hipólito Esteban Gusano,,,,,,,,,,
